genesym	logFC	AveExpr	t	P.Value	adj.P.Val	B
DLX2	-1.74680931152422	7.73813453114421	-31.3668286790214	1.28853019100828e-145	5.85695541367401e-145	321.701558605663
ZNF506	-1.12382524757364	5.18996043263919	-30.6937230248853	2.80847886009938e-141	1.2210777652606e-140	311.714816733072
ATF4	1.63726514834037	10.9972518543495	30.6731698618176	3.81071174077205e-141	1.58779655865502e-140	311.409733225071
HLF	-1.70229600352437	6.83415760737774	-30.5897775885242	1.31457022867763e-140	5.25828091471053e-140	310.171820976458
FOXL1	-1.37470582250299	5.58977267527222	-30.5190555460424	3.75743343483199e-140	1.44516670570461e-139	309.121910212051
IRF3	1.68829108820508	8.78626171130405	30.2591867466864	1.78285642377675e-138	6.6031719399139e-138	305.263456006093
AFF2	-0.972755548853717	6.53721915856641	-29.8180211162133	1.2514046636749e-135	4.4693023702675e-135	298.711820166439
NPAS3	-0.81248561824232	5.09972609475901	-29.6318943331268	1.98773710320418e-134	6.85426587311785e-134	295.947473981737
SUB1	2.84527874050382	10.3318665327076	29.3788555084935	8.53218542753065e-133	2.84406180917688e-132	292.189410859654
PIAS2	-0.555904974981137	4.57628161195958	-28.6637499245291	3.50088713376974e-128	1.1293184302483e-127	281.571534750406
NEUROG2	-1.03435471692008	4.76945590898736	-28.5040318459587	3.7506395290001e-127	1.17207485281253e-126	279.201055429124
THAP7	1.59896958941436	7.67267773895546	28.2537774518514	1.53955015015912e-125	4.66530348533067e-125	275.487968981374
ZNF614	-0.735058702032969	5.78983919318878	-28.128107348044	9.93789030691307e-125	2.92290891379796e-124	273.623958273965
ZBTB17	1.11491870968426	7.72047655101209	28.0281963999507	4.37576905439386e-124	1.25021972982682e-123	272.142337255195
ZNF780B	-0.520861244857563	4.42011531353053	-27.9698423159093	1.03990116126797e-123	2.88861433685547e-123	271.277118034016
PBRM1	-0.558856418571314	4.51957821058656	-27.5929277165118	2.78010423644507e-121	7.51379523363533e-121	265.691324905832
SIM1	-1.28720087261772	5.37126068866317	-27.5350465241578	6.55513455383583e-121	1.72503540890417e-120	264.834000496553
TGIF1	1.8453056811117	8.92769309613103	27.3793064291408	6.58614556071596e-120	1.68875527197845e-119	262.527888780093
CEBPB	2.4084273467281	11.0437995328032	26.8183119028405	2.65585633322805e-116	6.63964083307012e-116	254.230300795397
ZNF345	-0.962906540389085	5.12497765705548	-26.5257480140309	2.00313578887499e-114	4.88569704603655e-114	249.909721310359
ZNF669	-1.10050769615409	6.58480268197578	-26.1628294609108	4.2417550564245e-112	1.00994168010107e-111	244.557599007964
RFX4	-0.665530345948026	5.27648771803819	-26.1348043213718	6.41197762929628e-112	1.49115758820844e-111	244.144671797301
HOXB9	-0.786451943134033	5.1879339008619	-25.5325359471248	4.54174329949754e-108	1.03221438624944e-107	235.285127486071
E4F1	1.47745804254215	7.37722309681597	25.4356439246602	1.88565752493307e-107	4.19035005540682e-107	233.862583270584
ELF1	1.61662977221832	8.933090646598	25.0054970310641	1.03681893356229e-104	2.25395420339628e-104	227.557593951884
SOX3	-0.592873965699852	5.22791531872963	-24.9385180231263	2.76508104705091e-104	5.8831511639381e-104	226.577431631946
ZNF549	-0.548304922578551	4.93917642191783	-24.5381229508912	9.64220440383839e-102	2.008792584133e-101	220.727822632443
IKZF5	-1.22789018996134	6.52416494116528	-23.6598309271443	3.41482121255704e-96	6.96902288276946e-96	207.961500068449
ZFX	-0.63646305992902	4.57602783324237	-23.4699489124586	5.33876671611971e-95	1.06775334322394e-94	205.214646501513
ZNF175	-0.930666264247254	7.53631896314143	-23.1149594436258	8.9918162103105e-93	1.76310121770794e-92	200.093207565913
ZKSCAN5	-0.688041981396431	5.42328108613842	-22.757257822357	1.54501495289851e-90	2.97118260172791e-90	194.952080828821
DMRT1	-0.829150616559569	5.09540185705453	-22.6498865634033	7.21300251865482e-90	1.36094387144431e-89	193.412886167818
JUNB	2.25182196735448	9.59085900591575	22.1389735165138	1.07338622815772e-86	1.98775227436614e-86	186.115838624208
SREBF1	2.19430484076452	8.96329387771497	21.8059670831122	1.22381266353729e-84	2.22511393370416e-84	181.385191607808
ZNF471	-0.40831652955001	4.77620285141453	-21.6200394103012	1.70683912153772e-83	3.04792700274594e-83	178.753215686459
ZNF674	-0.27504113099037	4.29943976427096	-21.4307979630633	2.47750443027355e-82	4.34649900047992e-82	176.081446522057
ZNF682	-0.63247806563692	4.90249871979403	-21.3050134940493	1.46048814623273e-81	2.51808301074609e-81	174.309666893141
ZNF667	-0.829767206583599	5.15928212788351	-21.1397799495198	1.49430714864423e-80	2.53272398075293e-80	171.987302867091
ZNF80	-0.317703477636136	4.35234591359589	-21.1246523974654	1.84831764099231e-80	3.08052940165385e-80	171.774978101367
ZBED4	-0.89475309149918	6.27449589443355	-21.0506333636962	5.22722028502096e-80	8.56921358200157e-80	170.736793902804
IRF7	1.99367314224707	8.53734149754876	20.6646955152926	1.15838170004633e-77	1.86835758071989e-77	165.343524922728
ZNF234	-0.30265484928617	4.50371900138414	-20.5346616711343	7.09289127768869e-77	1.12585575836328e-76	163.534115197927
HOXB6	-0.651715282944598	6.12779267161406	-20.3808048811609	6.02189259651217e-76	9.40920718205027e-76	161.398427193762
IRF9	1.53596756250131	10.0202367733133	19.815321616755	1.48615813272616e-72	2.28639712727102e-72	153.599643838195
ZNF668	0.806614688103984	7.14137215864241	19.114638702759	2.11137943651891e-68	3.19905975230138e-68	144.054766528142
ZNF419	-0.944378776340244	7.40082724113592	-18.8415336003052	8.44683026087701e-67	1.26072093445926e-66	140.372621599612
ZNF41	-0.402882318023395	4.87767029777877	-18.6541799356564	1.0475424547285e-65	1.54050360989486e-65	137.859663351381
ZNF212	0.779760697637578	8.28693735087315	18.0247481147849	4.55815893727522e-62	6.60602744532641e-62	129.498666024862
ZNF43	1.21726239118536	8.00008982588314	17.8842065283724	2.90772586658473e-61	4.15389409512104e-61	127.649667144471
CREB3L2	1.60138775025227	9.75924221641164	17.7126782282015	2.76568528724859e-60	3.89533139049098e-60	125.40219234952
ZNF135	-0.951540050774302	6.03482183977744	-17.2737116791164	8.41202152223797e-58	1.16833632253305e-57	119.69802182443
