ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
2803	LAMA4	-1.61297574494901	4.99896534255604	-47.5107728825052	2.06295872449822e-245	1.39602960260564e-243	551.632748198061
1896	DNPEP	-2.25829087029252	5.67548220000303	-47.4746044697867	3.34459824965094e-245	2.23274531801022e-243	551.149904885463
3967	RPL35	3.26311110167749	11.6951891131957	47.3941196629725	9.80793949953022e-245	6.45202525645793e-243	550.074863773646
1853	DHRS7	-1.41788747501945	5.41615089707402	-47.3932234090569	9.92619270224297e-245	6.45202525645793e-243	550.062887943592
2477	HOXA2	-1.69312672150276	5.40336738968298	-47.3754021325727	1.25975846806398e-244	8.08208679511179e-243	549.824737756806
294	214645_at	-1.79848966691788	4.92651244034605	-47.3117466044262	2.95210907999508e-244	1.86966908399688e-242	548.973772822786
763	220880_at	-1.31261013008082	5.09541107232487	-47.286069136688	4.16277045709229e-244	2.60304886810581e-242	548.6303676918
1869	DLGAP2	-1.74635176272139	5.7690738356439	-47.2080617448103	1.18308514001443e-243	7.30555073958913e-242	547.586614151985
2542	IFIH1	-1.68301945946573	4.9152226974269	-47.2015760609955	1.29046611409517e-243	7.87025012793845e-242	547.499800698735
4178	SLC17A6	-1.89516619619389	4.88108058449407	-47.1448151672111	2.76089716215321e-243	1.66327219280937e-241	546.739812355327
1090	ARL6IP4	2.0980098843637	9.5869656347302	47.1101206641431	4.39571580297931e-243	2.61624530924311e-241	546.275081938263
171	208098_at	-2.42988158542472	5.58859620662415	-47.0537773703392	9.35788405687303e-243	5.50332705249438e-241	545.520051633392
254	212191_x_at	3.92004002290941	12.1054668862277	46.9105320445507	6.40048670621073e-242	3.71981227396247e-240	543.598728347235
785	221144_at	-2.45499551445859	4.98041814186146	-46.8752430746412	1.02824047393117e-241	5.90640458281392e-240	543.12501649714
4021	S100A11	3.24284074593153	11.4241322692589	46.8239988050387	2.04729461783931e-241	1.16248682898002e-239	542.436851569243
453	216104_at	-1.28266880698912	4.68191916184686	-46.7615940189082	4.73797537342621e-241	2.6597270846279e-239	541.598375346545
3563	PIK3C2G	-2.13189953574698	5.72352274069384	-46.6947673859927	1.16427705713923e-240	6.46239175535709e-239	540.699956848001
479	216286_at	-1.95074761186365	4.63067017921027	-46.6806221395396	1.40843406342024e-240	7.73073808144e-239	540.50971764214
4417	TAS2R10	-1.84672029361967	5.05889771724659	-46.3847840794788	7.59224621788373e-239	4.12150508970831e-237	536.525379350423
2021	ERH	2.17200030842861	11.1072455423314	46.3633412937699	1.01405639304518e-238	5.41258974970426e-237	536.236172378912
98	SP2	-1.65934535925801	4.70950381016514	-46.3621909133383	1.02992598476154e-238	5.41258974970426e-237	536.220655174483
4297	SP2	-1.65934535925801	4.70950381016514	-46.3621909133383	1.02992598476154e-238	5.41258974970426e-237	536.220655174483
2117	FGF5	-1.61991794795351	6.08368746165485	-46.2840345760938	2.95902235122107e-238	1.53869162263496e-236	535.166044645741
3738	PRSS7	-1.6664472876169	4.95746542440518	-46.242593291746	5.17975048376677e-238	2.66541326977165e-236	534.606549907186
2140	FMO6P	-1.93848106511625	6.35415035268721	-46.2057447966067	8.52309066605445e-238	4.34062555570195e-236	534.108885988889
1828	DDX41	2.69004670031095	8.98832361925262	46.1858594318182	1.11518606227748e-237	5.62144810984768e-236	533.840251859109
4311	SPINLW1	-2.67605021941758	5.65319872056844	-46.1760131774561	1.27398418623564e-237	6.35705240404451e-236	533.707219608266
1667	COX5B	2.57651222297322	10.8601894129891	46.1291517525425	2.401055210025e-237	1.18612127375235e-235	533.073915295934
1906	DPPA4	-0.98963049137238	4.91002758581803	-46.1161899736771	2.86123119730323e-237	1.39945367472059e-235	532.898697316905
4619	TRPC6	-1.62599396749009	5.77913446327924	-46.1053606104477	3.31270344816055e-237	1.60438774842286e-235	532.752289748409
2150	FOXE1	-1.58258419267828	5.06635014647522	-45.9649772749143	2.21608695758544e-236	1.05361399974256e-234	530.853085411493
2759	KLHL29	-1.94328677834242	5.98168805948297	-45.9649090951729	2.21813473630014e-236	1.05361399974256e-234	530.852162445663
4604	TRIM28	3.03612601826742	10.013948892564	45.9388479731732	3.15742135397769e-236	1.4854915703476e-234	530.499325278832
4743	UTP18	-2.28137722858919	5.83259804022632	-45.9366797794961	3.25156086077242e-236	1.51535006152979e-234	530.469966748271
96	CREB5	-1.8316516281006	5.44115636583972	-45.8717423303648	7.84060060696143e-236	3.58634879614717e-234	529.590413402746
